1,1_IPCfgMng_GenNetCfg_SysErr,HREG,400155,int,""
1,1_IPCfgMng_GenNetCfg_ShowErr,OUTP,136,boolean,""
1,1_IPCfgMng_GenNetCfg_EnReboot,HREG,400157,short,""
1,1_IPCfgMng_GenNetCfg_EnIPCFG,OUTP,137,boolean,""
1,1_IPCfgMng_GenNetCfg_DisableIP_msk,HREG,400158,unsignedInt,""
1,1_IPCfgMng_GenNetCfg_IntervalReadIP_msk,HREG,400160,unsignedInt,""
1,1_IPCfgMng_GenNetCfg_DisableConstantReading,OUTP,138,boolean,""
1,1_IPCfgMng_pGDXCfg_EnPGDX,INP,100080,boolean,""
1,1_IPCfgMng_pGDXCfg_pGDXIP[1],HREG,400162,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXIP[2],HREG,400163,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXIP[3],HREG,400164,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXIP[4],HREG,400165,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXNK[1],HREG,400166,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXNK[2],HREG,400167,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXNK[3],HREG,400168,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXNK[4],HREG,400169,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXGW[1],HREG,400170,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXGW[2],HREG,400171,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXGW[3],HREG,400172,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXGW[4],HREG,400173,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXDNS[1],HREG,400174,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXDNS[2],HREG,400175,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXDNS[3],HREG,400176,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_pGDXDNS[4],HREG,400177,unsignedByte,""
1,1_IPCfgMng_pGDXCfg_Status,HREG,400178,short,""
1,1_IPCfgMng_pGDXCfg_EnModify,HREG,400179,boolean,""
1,1_IPCfgMng_pGDXCfg_EnReading,HREG,400180,boolean,""
1,1_IPCfgMng_pGDXCfg_UpdCfg,HREG,400181,boolean,""
1,1_IPCfgMng_pGDXCfg_EnReadStatus,HREG,400182,boolean,""
1,1_IPCfgMng_GenNetCfg_EnReadStatus,HREG,400183,boolean,""
1,1_IPCfgMng_GenNetCfg_ResetTimerInactivity,OUTP,139,boolean,""
1,1_IPCfgMng_IPV4Cfg_EnAddr,INP,100081,boolean,""
1,1_IPCfgMng_pGDXCfg_EnReadOnlyTable,OUTP,140,boolean,""
1,1_IPCfgMng_pGDXCfg_EnReadWriteTable,OUTP,141,boolean,""
1,1_IPCfgMng_pGDXCfg_EnDHCPTable,OUTP,142,boolean,""
